index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
111,Meyers Leonard,9904495,25,33.00,254.00,0.59,0.42,0.67,0.66,0.82,70.00,17.00,7.00,0.00,112.00
112,Tony Snell,9821429,26,75.00,2053.00,0.44,0.40,0.49,0.56,0.79,141.00,98.00,47.00,28.00,516.00
113,Al Jefferson,9769821,33,36.00,484.00,0.53,0.00,0.54,0.53,0.83,143.00,30.00,16.00,23.00,252.00
114,Matthew Dellavedova,9607500,27,38.00,712.00,0.36,0.37,0.35,0.46,0.93,64.00,145.00,14.00,0.00,164.00
115,Joe Johnson,9505000,36,36.67,803.33,0.40,0.28,0.49,0.46,0.89,114.67,55.33,12.00,4.67,248.00
116,Joe Johnson,749905,36,36.67,803.33,0.40,0.28,0.49,0.46,0.89,114.67,55.33,12.00,4.67,248.00
117,Bogdan Bogdanovic,9470614,25,78.00,2175.00,0.45,0.39,0.49,0.53,0.84,223.00,258.00,72.00,16.00,917.00
118,Andre Roberson,9259259,26,39.00,1037.00,0.54,0.22,0.63,0.56,0.32,185.00,46.00,45.00,35.00,194.00
119,Trevor Booker,9125000,30,34.00,579.00,0.51,0.25,0.54,0.53,0.75,159.00,41.00,14.00,10.50,214.00
120,Dwight Powell,9003125,26,79.00,1672.00,0.59,0.33,0.66,0.63,0.72,444.00,91.00,67.00,32.00,671.00
121,Jerryd Bayless,9000000,29,39.00,925.00,0.42,0.37,0.47,0.52,0.80,80.00,54.00,23.00,6.00,307.00
122,Avery Bradley,8808989,27,30.67,955.33,0.43,0.29,0.47,0.48,0.84,77.33,62.67,34.00,5.33,437.33
123,JaMychal Green,8533333,27,55.00,1542.00,0.46,0.34,0.50,0.50,0.72,464.00,79.00,32.00,25.00,569.00
124,E'Twaun Moore,8445024,28,82.00,2586.00,0.51,0.43,0.56,0.59,0.71,238.00,187.00,79.00,12.00,1022.00
125,Rudy Gay,8406000,31,57.00,1231.00,0.47,0.31,0.52,0.51,0.77,291.00,73.00,46.00,38.00,655.00
126,Markieff Morris,8000000,28,73.00,1968.00,0.48,0.37,0.53,0.54,0.82,409.00,142.00,56.00,38.00,841.00
127,Garrett Temple,8000000,31,65.00,1615.00,0.42,0.39,0.44,0.51,0.77,152.00,124.00,57.00,27.00,547.00
128,Vince Carter,8000000,41,58.00,1026.00,0.40,0.35,0.48,0.50,0.76,148.00,69.00,42.00,26.00,313.00
129,C.J. Miles,7936509,30,70.00,1337.00,0.38,0.36,0.43,0.52,0.84,152.00,55.00,37.00,21.00,699.00
130,Cristiano Felicio,7843500,25,55.00,977.00,0.59,0.00,0.60,0.59,0.67,233.00,55.00,16.00,11.00,308.00
131,Shaun Livingston,7692308,32,71.00,1129.00,0.50,0.00,0.51,0.50,0.82,131.00,140.00,35.00,21.00,394.00
132,Cory Joseph,7630000,26,82.00,2210.00,0.42,0.35,0.46,0.48,0.75,263.00,260.00,80.00,18.00,649.00
133,P.J. Tucker,7590035,32,82.00,2281.00,0.39,0.37,0.44,0.52,0.72,457.00,77.00,78.00,26.00,502.00
134,Corey Brewer,7579366,31,48.00,805.33,0.45,0.27,0.54,0.50,0.73,102.67,43.33,52.67,9.33,253.33
135,Andrew Wiggins,7574322,22,82.00,2979.00,0.44,0.33,0.48,0.48,0.64,358.00,160.00,91.00,51.00,1452.00
136,Darrell Arthur,7464912,29,19.00,141.00,0.47,0.35,0.58,0.55,0.67,15.00,9.00,8.00,3.00,54.00
137,Channing Frye,7420912,34,35.33,463.33,0.48,0.34,0.66,0.58,0.86,90.00,25.33,12.00,8.67,176.00
138,Trevor Ariza,7420912,32,67.00,2269.00,0.41,0.37,0.52,0.54,0.85,294.00,105.00,98.00,13.00,782.00
139,Al-Farouq Aminu,7319035,27,69.00,2072.00,0.40,0.37,0.43,0.50,0.74,525.00,84.00,79.00,40.00,644.00
140,D.J. Augustin,7250000,30,75.00,1760.00,0.45,0.42,0.49,0.56,0.87,160.00,287.00,54.00,0.00,766.00
141,Markelle Fultz,7026240,19,14.00,253.00,0.41,0.00,0.41,0.41,0.48,43.00,53.00,12.00,4.00,100.00
