,player_name,salary
409,Skal Labissiere,1312611.0
410,A.J. Hammons,1312611.0
411,Deyonta Davis,1312611.0
412,Chinanu Onuaku,1312611.0
413,Damian Jones,1312611.0
414,Wayne Selden,1312611.0
415,Cheick Diallo,1312611.0
416,Joel Bolomboy,1312611.0
417,Davis Bertans,1312611.0
418,Bryn Forbes,1312611.0
419,Jake Layman,1312611.0
420,Tyler Ulis,1312611.0
421,Marcus Georges-Hunt,1312611.0
422,Malcolm Brogdon,1312611.0
423,Rodney McGruder,1312611.0
424,Andrew Harrison,1312611.0
425,Ivica Zubac,1312611.0
426,Patrick McCaw,1312611.0
427,Dorian Finney-Smith,1312611.0
428,Yogi Ferrell,1312611.0
429,Treveon Graham,1312611.0
430,David Nwaba,1312611.0
431,Paul Zipser,1312611.0
432,Isaiah Whitehead,1312611.0
433,Sheldon Mac,1312611.0
434,Okaro White,1312611.0
435,Nicolas Brussino,1312611.0
436,Diamond Stone,1312611.0
437,Isaiah Taylor,1312611.0
438,Kay Felder,1312611.0
439,Fred VanVleet,1312611.0
440,Derrick Jones,1312611.0
441,Chasson Randle,1312611.0
442,Stephen Zimmerman,1312611.0
443,Semi Ojeleye,1291892.0
444,Frank Mason,1184385.0
445,Abdel Nader,1167333.0
446,Damyean Dotson,1100000.0
447,Paul Pierce,1096080.0
448,Isaiah Canaan,1069308.0
449,Wesley Iwundu,1050000.0
450,Livio Jean-Charles,1035200.0
451,Justin Hamilton,1000000.0
452,Gerald Henderson,1000000.0
453,Rade Zagorac,950000.0
454,Ivan Rabb,950000.0
455,Ike Anigbogu,950000.0
456,Gerald Green,947248.0
457,Jason Thompson,945126.0
458,Martell Webster,830000.0
459,Frank Jackson,815615.0
460,Jordan Bell,815615.0
461,Dakari Johnson,815615.0
462,Sterling Brown,815615.0
463,Dillon Brooks,815615.0
464,Jawun Evans,815615.0
465,Sindarius Thornwell,815615.0
466,Dwayne Bacon,815615.0
467,Tyler Dorsey,815615.0
468,Davon Reed,815615.0
469,Royce O'Neale,815615.0
470,Alfonzo McKinnie,815615.0
471,Brandon Paul,815615.0
472,Khem Birch,815615.0
473,Thomas Bryant,815615.0
474,Zhou Qi,815615.0
475,Maxi Kleber,815615.0
476,Daniel Theis,815615.0
477,Sean Kilpatrick,789725.0
478,Trey Burke,784160.0
479,Alex Poythress,778668.0
480,Marco Belinelli,776217.0
481,Joe Johnson,749905.0
482,Dwight Buycks,748160.0
483,Tyler Cavanaugh,679919.0
484,Carlos Delfino,650000.0
485,Caron Butler,517220.0
486,Jordan Farmar,510921.0
487,Ersan Ilyasova,502328.0
488,Leandro Barbosa,500000.0
489,Tibor Pleiss,500000.0
490,Michael Gbinije,500000.0
491,Aaron Gray,452059.0
492,Festus Ezeli,333334.0
493,C.J. Watson,333334.0
494,Gal Mekel,315760.0
495,Miroslav Raduljica,300000.0
496,Cameron Oliver,300000.0
497,Ramon Sessions,263124.0
498,Jordan Crawford,250000.0
499,Emeka Okafor,239204.0
500,Wade Baldwin,222476.0
501,Isaiah Canaan,200000.0
502,Rakeem Christmas,172552.0
503,DeAndre Liggins,172238.0
504,Sean Kilpatrick,172238.0
505,Rashad Vaughn,166258.0
506,Troy Williams,148318.0
507,Travis Wear,148318.0
508,Carrick Felix,140902.0
509,Brandon Rush,119602.0
510,Brandon Jennings,119010.0
511,Derrick Williams,104059.0
512,K.J. McDaniels,100000.0
513,Marshall Plumlee,100000.0
514,Georges Niang,100000.0
515,Quinn Cook,100000.0
516,Demetrius Jackson,92858.0
517,Kyle Collinsworth,92160.0
518,Josh Gray,92160.0
519,Naz Mitrou-Long,92160.0
520,Shaquille Harrison,92160.0
521,"Walt Lemon, Jr.",92160.0
522,Antonius Cleveland,92160.0
523,Jaylen Morris,92160.0
524,Mike James,87552.0
525,Jarell Eddie,83129.0
526,Jarell Eddie,83129.0
527,Briante Weber,83129.0
528,Demetrius Jackson,74159.0
529,Georgios Papagiannis,74159.0
530,Larry Drew,74159.0
531,Scotty Hopson,74159.0
532,Isaiah Canaan,53465.0
533,Tyler Cavanaugh,50000.0
534,Kyle Collinsworth,50000.0
535,Demetrius Jackson,50000.0
536,Daniel Ochefu,50000.0
537,Michael Young,50000.0
538,Nate Wolters,50000.0
539,Naz Mitrou-Long,50000.0
540,Eric Griffin,50000.0
541,Jacob Pullen,50000.0
542,James Michael McAdoo,50000.0
543,Nigel Hayes,50000.0
544,Jalen Moore,50000.0
545,Gary Payton,50000.0
546,Matt Williams,50000.0
547,Vince Hunter,50000.0
548,Vander Blue,50000.0
549,V.J. Beachem,50000.0
550,Briante Weber,50000.0
551,Jamil Wilson,50000.0
552,Briante Weber,50000.0
553,Luis Montero,50000.0
554,Gian Clavell,50000.0
555,Antonius Cleveland,50000.0
556,Diamond Stone,50000.0
557,Yakuba Ouattara,50000.0
558,Jeremy Evans,50000.0
559,Nigel Hayes,46080.0
560,Nigel Hayes,46080.0
561,Rodney Purvis,46080.0
562,Xavier Rathan-Mayes,46080.0
563,Trey McKinney-Jones,46080.0
564,Jameel Warney,46080.0
565,Marcus Thornton,46080.0
566,DeAndre Liggins,26773.0
567,Axel Toupane,25000.0
568,Quinn Cook,25000.0
569,Chris Johnson,25000.0
570,Beno Udrih,25000.0
571,Joel Bolomboy,22248.0
572,Jarell Eddie,17224.0
